"Date Last Researched","Country/Area","Project Name","Phase Name","Project Name in Local Language / Script","Other Name(s)","Capacity (MW)","Capacity Rating","Technology Type","Status","Start year","Retired year","Operator","Operator Name in Local Language / Script","Owner","Owner Name in Local Language / Script","Hydrogen","Latitude","Longitude","Location accuracy","City","Local area (taluk, county)","Major area (prefecture, district)","State/Province","Subregion","Region","GEM location ID","GEM phase ID","Other IDs (location)","Other IDs (unit/phase)","Wiki URL"
"2024/02/27","Spain","Llevant solar project XI","--",NA,NA,1.3,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"39.5795","3.1748","exact",NA,"Llevant",NA,"Balearic Islands","Southern Europe","Europe","L100001010337","G100001011707",NA,"TZ: SOL000222430","https://www.gem.wiki/Llevant_solar_project_XI"
"2024/02/27","Spain","Llevant solar project XII","--",NA,NA,1.6,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"39.6969","3.4209","exact",NA,"Llevant",NA,"Balearic Islands","Southern Europe","Europe","L100001010344","G100001011714",NA,"TZ: SOL000224592","https://www.gem.wiki/Llevant_solar_project_XII"
"2024/02/27","Spain","Llevant solar project XIII","--",NA,NA,3.9,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"39.5944","3.3582","exact",NA,"Llevant",NA,"Balearic Islands","Southern Europe","Europe","L100001010567","G100001011937",NA,"TZ: SOL000224587","https://www.gem.wiki/Llevant_solar_project_XIII"
"2024/05/06","Spain","Lobosillo solar project","--",NA,NA,12.7,"MWp/dc","Assumed PV","operating",2007,NA,NA,NA,NA,NA,NA,"37.7336","-1.0596","exact",NA,NA,NA,NA,"Southern Europe","Europe","L100001009209","G100001010579",NA,"WKSL: 60090","https://www.gem.wiki/Lobosillo_solar_project"
"2024/05/06","Spain","Logrosán solar project","--",NA,NA,5,"MWp/dc","Assumed PV","operating",2008,NA,NA,NA,NA,NA,NA,"39.2946","-5.4885","exact",NA,NA,NA,NA,"Southern Europe","Europe","L100001009139","G100001010509",NA,"WKSL: 60361","https://www.gem.wiki/Logrosán_solar_project"
"2024/02/27","Spain","Lorca Alto Guadalentín solar project I","--",NA,NA,1.8,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"37.6072","-1.6756","exact","Lorca","Alto Guadalentín",NA,NA,"Southern Europe","Europe","L100001009536","G100001010906",NA,"TZ: SOL000211090","https://www.gem.wiki/Lorca_Alto_Guadalentín_solar_project_I"
"2024/02/27","Spain","Lorca Alto Guadalentín solar project II","--",NA,NA,1.7,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"37.5334","-1.7413","exact","Lorca","Alto Guadalentín",NA,NA,"Southern Europe","Europe","L100001009662","G100001011032",NA,"TZ: SOL000211082","https://www.gem.wiki/Lorca_Alto_Guadalentín_solar_project_II"
"2024/02/27","Spain","Lorca Alto Guadalentín solar project III","--",NA,NA,1.3,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"37.9120","-1.8326","exact","Lorca","Alto Guadalentín",NA,NA,"Southern Europe","Europe","L100001009833","G100001011203",NA,"TZ: SOL000211129","https://www.gem.wiki/Lorca_Alto_Guadalentín_solar_project_III"
"2024/02/27","Spain","Lorca Alto Guadalentín solar project IV","--",NA,NA,2.8,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"37.7680","-1.6981","exact","Lorca","Alto Guadalentín",NA,"Region of Murcia","Southern Europe","Europe","L100001009897","G100001011267",NA,"TZ: SOL000211116","https://www.gem.wiki/Lorca_Alto_Guadalentín_solar_project_IV"
"2024/02/27","Spain","Lorca Alto Guadalentín solar project IX","--",NA,NA,1.3,"MWac","Assumed PV","operating",NA,NA,NA,NA,NA,NA,NA,"37.4887","-1.7791","exact","Lorca","Alto Guadalentín",NA,NA,"Southern Europe","Europe","L100001010262","G100001011632",NA,"TZ: SOL000211077","https://www.gem.wiki/Lorca_Alto_Guadalentín_solar_project_IX"
