"","X","Quality","Day","Month","Year","Hr","Min","Outlier","logger_type","date","time_gmt0","timestamp_gmt0","X_4326","Y_4326","altitude","hdop","lag1","burst","burst2","tipo","sex","species","age","nuclei","region","birdID","IDorder","X_25830","Y_25830","coords.x1","coords.x2","vel","outliers"
"29","30","2","21","03","2011","4","11","0","argos","2011-03-21","04:11:37","2011-03-21 04:11:37","-3.938888889","38.86583333","0.682","0","18542","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",30,418545.866598913,4302306.93767342,418545.866598913,4302306.93767342,0.021059621043125,"NO"
"30","31","2","21","03","2011","4","43","0","argos","2011-03-21","04:43:47","2011-03-21 04:43:47","-3.946944444","38.86277778","0.683","0","1930","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",31,417843.469450788,4301975.07577402,417843.469450788,4301975.07577402,0.402303889299297,"NO"
"31","32","3","23","03","2011","6","49","0","argos","2011-03-23","06:49:47","2011-03-23 06:49:47","-3.931944444","38.87","0.675","0","180360","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",32,419153.069485749,4302763.14741593,419153.069485749,4302763.14741593,0.00847430190321594,"NO"
"32","33","3","23","03","2011","13","36","0","argos","2011-03-23","13:36:47","2011-03-23 13:36:47","-3.941111111","38.86555556","0.682","0","24420","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",33,418352.754311938,4302278.09801742,418352.754311938,4302278.09801742,0.0383206968134756,"NO"
"33","34","3","23","03","2011","14","8","0","argos","2011-03-23","14:08:27","2011-03-23 14:08:27","-3.936111111","38.87138889","0.684","0","1900","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",34,418793.181335873,4302920.973296,418793.181335873,4302920.973296,0.409927317943494,"NO"
"34","35","3","23","03","2011","15","17","0","argos","2011-03-23","15:17:47","2011-03-23 15:17:47","-3.933055556","38.87083333","0.678","0","4160","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",35,419057.622964934,4302856.608109,419057.622964934,4302856.608109,0.0654078780268182,"NO"
"35","36","2","23","03","2011","15","50","0","argos","2011-03-23","15:50:30","2011-03-23 15:50:30","-3.923611111","38.86722222","0.668","0","1963","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",36,419872.887783366,4302447.54550351,419872.887783366,4302447.54550351,0.464426821312393,"NO"
"36","37","1","25","03","2011","17","21","0","argos","2011-03-25","17:21:16","2011-03-25 17:21:16","-3.937222222","38.86583333","0.682","0","178246","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",37,418690.46253795,4302305.45203179,418690.46253795,4302305.45203179,0.00668136021596955,"NO"
"37","38","2","25","03","2011","19","55","0","argos","2011-03-25","19:55:31","2011-03-25 19:55:31","-3.949166667","38.86527778","0.682","0","9255","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",38,417653.550549241,4302254.50709504,417653.550549241,4302254.50709504,0.11216105578891,"NO"
"38","39","3","25","03","2011","21","44","0","argos","2011-03-25","21:44:19","2011-03-25 21:44:19","-3.948333333","38.86638889","0.682","0","6528","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",39,417727.129912526,4302377.057665,417727.129912526,4302377.057665,0.0218934787960071,"NO"
"39","40","1","25","03","2011","22","55","0","argos","2011-03-25","22:55:37","2011-03-25 22:55:37","-3.948333333","38.87055556","0.681","0","4278","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",40,417731.932972024,4302839.44067129,417731.932972024,4302839.44067129,0.108064489788153,"NO"
"40","41","2","28","03","2011","7","28","0","argos","2011-03-28","07:28:31","2011-03-28 07:28:31","-3.907222222","38.88055556","0.647","0","203574","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",41,421309.423029127,4303912.91201888,421309.423029127,4303912.91201888,0.0186777034126016,"NO"
"41","42","1","28","03","2011","10","34","0","argos","2011-03-28","10:34:12","2011-03-28 10:34:12","-3.900277778","38.87361111","0.650","0","11141","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",42,421904.1796033,4303136.31039199,421904.1796033,4303136.31039199,0.0877925671199955,"NO"
"42","43","3","28","03","2011","11","56","0","argos","2011-03-28","11:56:13","2011-03-28 11:56:13","-3.945277778","38.86083333","0.684","0","4921","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",43,417985.837682396,4301757.79850824,417985.837682396,4301757.79850824,0.843916526894569,"NO"
"43","44","1","30","03","2011","15","1","0","argos","2011-03-30","15:01:19","2011-03-30 15:01:19","-3.936111111","38.89222222","0.644","0","183906","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",44,418816.893921673,4305232.88951878,418816.893921673,4305232.88951878,0.0194287416127928,"NO"
"44","45","2","30","03","2011","16","45","0","argos","2011-03-30","16:45:00","2011-03-30 16:45:00","-3.906666667","38.88166667","0.649","0","6221","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",45,421358.83644581,4304035.73504175,421358.83644581,4304035.73504175,0.451581821689364,"NO"
"45","46","2","30","03","2011","17","13","0","argos","2011-03-30","17:13:38","2011-03-30 17:13:38","-3.905277778","38.91833333","0.685","0","1718","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",46,421519.681303331,4308103.51653596,421519.681303331,4308103.51653596,2.36821422308218,"NO"
"46","47","3","30","03","2011","18","1","0","argos","2011-03-30","18:01:11","2011-03-30 18:01:11","-3.934722222","38.86722222","0.657","0","2853","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",47,418908.934343928,4302457.35600961,418908.934343928,4302457.35600961,2.17958684046135,"NO"
"47","48","2","30","03","2011","19","41","0","argos","2011-03-30","19:41:09","2011-03-30 19:41:09","-3.93","38.86527778","0.677","0","5998","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",48,419316.416647572,4302237.39445963,419316.416647572,4302237.39445963,0.0771895941627942,"NO"
"48","49","2","30","03","2011","21","39","0","argos","2011-03-30","21:39:49","2011-03-30 21:39:49","-3.908611111","38.87666667","0.648","0","7120","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",49,421184.655519376,4303482.55346032,421184.655519376,4303482.55346032,0.315286990920745,"NO"
"49","50","3","30","03","2011","22","31","0","argos","2011-03-30","22:31:17","2011-03-30 22:31:17","-3.910555556","38.87583333","0.651","0","3088","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",50,421015.063645785,4303391.75705286,421015.063645785,4303391.75705286,0.0622751226451821,"NO"
"50","51","2","02","04","2011","0","52","0","argos","2011-04-02","00:52:46","2011-04-02 00:52:46","-4.158333333","38.78583333","0.703","0","181289","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",51,399394.724247361,4293647.79498346,399394.724247361,4293647.79498346,0.130810492263827,"NO"
"51","52","3","02","04","2011","4","48","0","argos","2011-04-02","04:48:32","2011-04-02 04:48:32","-4.163333333","38.77555556","0.697","0","14146","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",52,398945.937350949,4292512.76390199,398945.937350949,4292512.76390199,0.0862751689308722,"NO"
"52","53","3","02","04","2011","5","16","0","argos","2011-04-02","05:16:53","2011-04-02 05:16:53","-4.161666667","38.77777778","0.696","0","1701","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",53,399093.84999564,4292757.52769035,399093.84999564,4292757.52769035,0.168028833139614,"NO"
"53","54","2","04","04","2011","9","13","0","argos","2011-04-04","09:13:36","2011-04-04 09:13:36","-4.181388889","38.77472222","0.707","0","187003","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",54,397376.28179948,4292440.38840631,397376.28179948,4292440.38840631,0.00933991677206688,"NO"
"54","55","1","04","04","2011","10","51","0","argos","2011-04-04","10:51:37","2011-04-04 10:51:37","-4.17","38.77","0.699","0","5881","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",55,398358.928468316,4291903.63962258,398358.928468316,4291903.63962258,0.190357813271968,"NO"
"55","56","1","04","04","2011","12","27","1","argos","2011-04-04","12:27:46","2011-04-04 12:27:46","-1.041666667","40.25611111","0.000","0","5769","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",56,666541.966148437,4458023.26464762,666541.966148437,4458023.26464762,54.6732292720926,"YES"
"56","57","3","06","04","2011","21","25","0","argos","2011-04-06","21:25:37","2011-04-06 21:25:37","-4.165833333","38.775","0.697","0","205071","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",57,398727.980196572,4292453.87727018,398727.980196572,4292453.87727018,1.53536886953802,"NO"
"57","58","2","06","04","2011","21","55","0","argos","2011-04-06","21:55:27","2011-04-06 21:55:27","-4.160555556","38.77694444","0.696","0","1790","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",58,399189.194270333,4292663.82527359,399189.194270333,4292663.82527359,0.282943054067446,"NO"
"58","59","3","06","04","2011","23","6","0","argos","2011-04-06","23:06:35","2011-04-06 23:06:35","-4.162222222","38.77638889","0.696","0","4268","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",59,399043.632915951,4292604.0130954,399043.632915951,4292604.0130954,0.0368636481428505,"NO"
"59","60","2","06","04","2011","23","9","0","argos","2011-04-06","23:09:34","2011-04-06 23:09:34","-4.166388889","38.77666667","0.697","0","179","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",60,398682.077814769,4292639.44588235,398682.077814769,4292639.44588235,2.01826209910178,"NO"
"60","61","2","07","04","2011","0","50","0","argos","2011-04-07","00:50:14","2011-04-07 00:50:14","-4.165","38.77055556","0.698","0","6040","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",61,398794.0901984,4291959.74772323,398794.0901984,4291959.74772323,0.114031782292864,"NO"
"61","62","3","09","04","2011","7","41","0","argos","2011-04-09","07:41:33","2011-04-09 07:41:33","-3.911111111","38.87861111","0.645","0","197479","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",62,420969.948809188,4303700.49301971,420969.948809188,4303700.49301971,0.127061507154889,"NO"
"62","63","2","09","04","2011","9","54","0","argos","2011-04-09","09:54:54","2011-04-09 09:54:54","-3.89","38.87444444","0.660","0","8001","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",63,422796.656531073,4303220.04357205,422796.656531073,4303220.04357205,0.23604520208279,"NO"
"63","64","1","09","04","2011","15","27","0","argos","2011-04-09","15:27:01","2011-04-09 15:27:01","-3.885","38.88472222","0.669","0","19927","0","658","NO_burst_boost","M","BBS","AD","MSUR","CLM","BBS_44752",64,423241.449426422,4304356.36850007,423241.449426422,4304356.36850007,0.0612342750554135,"NO"
